player_id,player_name,bat_style,bowl_style,field_pos
11947,S Badrinath,Right hand Bat,Right arm Offbreak, 
12071,VY Mahesh,Right hand Bat,Right arm Medium fast, 
11958,P Dharmani,Right hand Bat, ,Wicketkeeper
11923,Mohammad Hafeez,Right hand Bat,Right arm Offbreak, 
11946,JDP Oram,Left hand Bat,Right arm Fast medium, 
12105,D Kalyankrishna,Right hand Bat,Right arm Medium fast, 
11986,ST Jayasuriya,Left hand Bat,Slow Left arm Orthodox, 
11989,PR Shah,Right hand Bat, ,Wicketkeeper
8597,MW Short,Right hand Bat,Right arm Offbreak, 
11980,M Manhas,Right hand Bat,Right arm Offbreak,Wicketkeeper
11959,B Lee,Right hand Bat,Right arm Fast, 
11921,RT Ponting,Right hand Bat,Right arm Medium, 
11922,DJ Hussey,Right hand Bat,Right arm Offbreak, 
12572,NK Patel,Left hand Bat,Unknown,Unknown
12338,SP Fleming,Left hand Bat, , 
16455,TR Birt,Left hand Bat,Right arm Medium,Occasional Wicketkeeper
16953,AA Kazi,Left hand Bat,Slow Left arm Orthodox, 
14798,J Theron,Right hand Bat,Right arm Medium fast, 
34126,SS Mundhe,Right hand Bat,Right arm Medium, 
15862,Sunny Singh,Right hand Bat,Right arm Medium fast, 
13301,R Bishnoi,Right hand Bat,Right arm Medium fast, 
13388,AS Raut,Right hand Bat,Legbreak Googly, 
14765,R Sharma,Right hand Bat,Legbreak Googly, 
15334,RS Sodhi,Right hand Bat,Right arm Medium, 
14648,MJ Lumb,Left hand Bat,Right arm Medium, 
34959,LJ Wright,Right hand Bat,Right arm Medium, 
14476,R Sathish,Right hand Bat,Right arm Medium, 
12372,Misbah-ul-Haq,Right hand Bat,Legbreak, 
14464,OA Shah,Right hand Bat,Right arm Offbreak, 
13248,AM Salvi,Right hand Bat,Right arm Medium, 
13016,A Nel,Right hand Bat,Right arm Fast medium, 
16380,NL McCullum,Right hand Bat,Right arm Offbreak, 
34811,N Saini,Right hand Bat, ,Wicketkeeper
15261,AN Ahmed,Right hand Bat,Right arm Medium fast, 
16743,I Malhotra,Right hand Bat,Right arm Medium fast, 
